Órgão superior;Órgão subordinado;Unidade administrativa;Número do contrato;Número do ICJ;Número do processo;Enquadramento do Processo;Fornecedor;CNPJ/CPF;Objeto da contratação;Fundamento legal;Início da vigência;Fim da vigência;Valor do contrato;Saldo bruto do contrato;Saldo inativo;Situação;Número dos aditivos
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4514483240;;7003154647;LICITAÇÃO;HALLIBURTON ENERGY SERVICES INC.;EXTERNO;PEDIDO DE REAPROVEITAMENTO PARA FINS DE PAGAMENTOAutorizado por  Jose Fadel Gracioso (U3B7)CENTRO DE CUSTO DESEMBARACO  E544SOAE14Este Pedido de Compras tem como objetivo a criacao de item complementa;Licitação, Lei 13.303, Art. 28, CAPUT;23/07/2025;15/12/2025;US$ 71.291,03;US$ 0,00;US$ 71.291,03;Concluído;
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4514483559;;7003154647;LICITAÇÃO;HALLIBURTON ENERGY SERVICES INC.;EXTERNO;PEDIDO DE REAPROVEITAMENTO PARA FINS DE PAGAMENTOAutorizado por  Jose Fadel Gracioso (U3B7)CENTRO DE CUSTO DESEMBARACO  E544SOAE14Este Pedido de Compras tem como objetivo a criacao de itenscomplementa;Licitação, Lei 13.303, Art. 28, CAPUT;23/07/2025;15/12/2025;US$ 35.645,52;US$ 0,00;US$ 35.645,52;Concluído;
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4514486256;;7003154647;LICITAÇÃO;HALLIBURTON ENERGY SERVICES INC.;EXTERNO;Permanecem inalteradas as demais condicoes contratuais DREJ   JESSICA FARIASSUPRIMENTOS/GCB/GCBI/CBI III;Licitação, Lei 13.303, Art. 28, CAPUT;24/07/2025;15/12/2025;US$ 35.645,52;US$ 0,00;US$ 35.645,52;Concluído;
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4514488735;;7003024762;LICITAÇÃO;HALLIBURTON FAR EAST PTE LTD.;EXTERNO;PEDIDO DE REAPROVEITAMENTO PARA FINS DE PAGAMENTOAutorizado por  Jose Fadel Gracioso (U3B7)CENTRO DE CUSTO DESEMBARACO  E544SOAE14Este Pedido de Compras tem como objetivo a criacao de itenscomplementa;Licitação, Lei 13.303, Art. 28, CAPUT;25/07/2025;15/12/2025;US$ 151.085,42;US$ 0,00;US$ 0,00;Concluído;
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4514488785;;7003024762;LICITAÇÃO;HALLIBURTON FAR EAST PTE LTD.;EXTERNO;PEDIDO DE REAPROVEITAMENTO PARA FINS DE PAGAMENTOAutorizado por  Jose Fadel Gracioso (U3B7)CENTRO DE CUSTO DESEMBARACO  E544SOAE14Este Pedido de Compras tem como objetivo a criacao de itenscomplementa;Licitação, Lei 13.303, Art. 28, CAPUT;25/07/2025;15/12/2025;US$ 151.085,42;US$ 0,00;US$ 0,00;Concluído;
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4514488872;;7003024762;LICITAÇÃO;HALLIBURTON FAR EAST PTE LTD.;EXTERNO;PEDIDO DE REAPROVEITAMENTO PARA FINS DE PAGAMENTOAutorizado por  Jose Fadel Gracioso (U3B7)CENTRO DE CUSTO DESEMBARACO  E544SOAE14Este Pedido de Compras tem como objetivo a criacao de itenscomplementa;Licitação, Lei 13.303, Art. 28, CAPUT;25/07/2025;15/12/2025;US$ 151.085,42;US$ 0,00;US$ 0,00;Concluído;
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4600001090;BDC .6002134034;;INEXIGIBIL;HALLIBURTON SERVICOS LTDA - DIVISAO;29504214002988;INFORMÁTICA - LICENÇAS USO DE SOFTWARE;Inexigibilidade, Dec 2745, 2.3, CAPUT - Inviabilidade fática ou jurídica de competição.;23/12/2003;22/12/2053;R$ 1.610.902,90;R$ 1.610.902,90;R$ 0,00;Concluído;
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4600421771;2050.0082628.13.2;;CONVITE;HALLIBURTON SERVICOS LTDA;29504214000187;SERVIÇOS DE INSTALAÇÃO DE SISTEMAS DE COMPLETAÇÃO PARA INSTALAÇÃO DE ANM A CABO (SCIAC);Convite, Dec 2745, 3.1, C - Mínimo de 3 fornecedores, do ramo pertinente ao objeto, cadastrados ou não.;10/01/2014;30/01/2023;R$ 522.308,00;R$ 0,00;R$ 388.828,00;Concluído;002-001-005-004-003
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4600424477;2050.0085464.13.2;;CONVITE;HALLIBURTON SERVICOS LTDA;29504214000187;FORNECIMENTO DE PRODUTOS QUÍMICOS (TBN 151);Convite, Dec 2745, 3.1, C - Mínimo de 3 fornecedores, do ramo pertinente ao objeto, cadastrados ou não.;22/02/2016;21/02/2024;R$ 8.010.625,64;R$ 0,00;R$ 140.493,92;Concluído;850-002-003-004-005-080-006-007-008-009
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4600424483;2050.0085464.13.2;;CONVITE;HALLIBURTON SERVICOS LTDA;29504214000187;FORNECIMENTO DE PRODUTOS QUÍMICOS (TBN 151);Convite, Dec 2745, 3.1, C - Mínimo de 3 fornecedores, do ramo pertinente ao objeto, cadastrados ou não.;22/02/2016;21/02/2024;US$ 11.984.760,43;US$ 0,00;US$ 8.158.533,46;Concluído;003-850-005-006-007-008-080-009
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4600501376;2050.0085463.13.2;;CONVITE;HALLIBURTON PRODUTOS LTDA.;16328932000106;SERVIÇOS DE ESTIMULAÇÃO DE POÇOS (TBN 151);Convite, Dec 2745, 3.1, C - Mínimo de 3 fornecedores, do ramo pertinente ao objeto, cadastrados ou não.;22/02/2016;10/03/2024;R$ 177.134.569,02;R$ 0,00;R$ 114.105,56;Concluído;003-002-001-850-080-008-006-007-005-004-009
